Port ,Pin ,AF0                           ,AF1                           ,AF2              ,AF3                           ,AF4                           ,AF5                           ,AF6                   ,AF7      ,AF8                           ,AF9      ,AF10                  ,AF11,AF12,AF13,AF14,AF15,ADC
     ,    ,AF0                           ,AF1                           ,AF2              ,AF3                           ,AF4                           ,AF5                           ,AF6                   ,AF7      ,AF8                           ,AF9      ,AF10                  ,AF11,AF12,AF13,AF14,AF15,ADC
PortA,PA0 ,SPI2_SCK/I2S2_CK              ,USART2_CTS                    ,TIM2_CH1/TIM2_ETR,                              ,USART4_TX                     ,LPTIM1_OUT                    ,UCPD2_FRSTX           ,COMP1_OUT,                              ,         ,                      ,    ,    ,    ,    ,    ,ADC1_IN0
PortA,PA1 ,SPI1_SCK/I2S1_CK              ,USART2_RTS/USART2_DE/USART2_CK,TIM2_CH2         ,                              ,USART4_RX                     ,TIM15_CH1N                    ,I2C1_SMBA             ,EVENTOUT ,                              ,         ,                      ,    ,    ,    ,    ,    ,ADC1_IN1
PortA,PA2 ,SPI1_MOSI/I2S1_SD             ,USART2_TX                     ,TIM2_CH3         ,                              ,UCPD1_FRSTX                   ,TIM15_CH1                     ,LPUART1_TX            ,COMP2_OUT,                              ,         ,                      ,    ,    ,    ,    ,    ,ADC1_IN2
PortA,PA3 ,SPI2_MISO/I2S2_MCK            ,USART2_RX                     ,TIM2_CH4         ,                              ,UCPD2_FRSTX                   ,TIM15_CH2                     ,LPUART1_RX            ,EVENTOUT ,                              ,         ,                      ,    ,    ,    ,    ,    ,ADC1_IN3
PortA,PA4 ,SPI1_NSS/I2S1_WS              ,SPI2_MOSI/I2S2_SD             ,USB_NOE          ,USART6_TX                     ,TIM14_CH1                     ,LPTIM2_OUT                    ,UCPD2_FRSTX           ,EVENTOUT ,                              ,SPI3_NSS ,                      ,    ,    ,    ,    ,    ,ADC1_IN4
PortA,PA5 ,SPI1_SCK/I2S1_CK              ,CEC                           ,TIM2_CH1/TIM2_ETR,USART6_RX                     ,USART3_TX                     ,LPTIM2_ETR                    ,UCPD1_FRSTX           ,EVENTOUT ,                              ,         ,                      ,    ,    ,    ,    ,    ,ADC1_IN5
PortA,PA6 ,SPI1_MISO/I2S1_MCK            ,TIM3_CH1                      ,TIM1_BKIN        ,USART6_CTS                    ,USART3_CTS                    ,TIM16_CH1                     ,LPUART1_CTS           ,COMP1_OUT,I2C2_SDA                      ,I2C3_SDA ,                      ,    ,    ,    ,    ,    ,ADC1_IN6
PortA,PA7 ,SPI1_MOSI/I2S1_SD             ,TIM3_CH2                      ,TIM1_CH1N        ,USART6_RTS/USART6_DE/USART6_CK,TIM14_CH1                     ,TIM17_CH1                     ,UCPD1_FRSTX           ,COMP2_OUT,I2C2_SCL                      ,I2C3_SCL ,                      ,    ,    ,    ,    ,    ,ADC1_IN7
PortA,PA8 ,MCO                           ,SPI2_NSS/I2S2_WS              ,TIM1_CH1         ,                              ,CRS1_SYNC                     ,LPTIM2_OUT                    ,                      ,EVENTOUT ,I2C2_SMBA                     ,         ,                      ,    ,    ,    ,    ,    ,
PortA,PA9 ,MCO                           ,USART1_TX                     ,TIM1_CH2         ,                              ,SPI2_MISO/I2S2_MCK            ,TIM15_BKIN                    ,I2C1_SCL              ,EVENTOUT ,I2C2_SCL                      ,         ,                      ,    ,    ,    ,    ,    ,
PortA,PA10,SPI2_MOSI/I2S2_SD             ,USART1_RX                     ,TIM1_CH3         ,MCO2                          ,                              ,TIM17_BKIN                    ,I2C1_SDA              ,EVENTOUT ,I2C2_SDA                      ,         ,                      ,    ,    ,    ,    ,    ,
PortA,PA11,SPI1_MISO/I2S1_MCK            ,USART1_CTS                    ,TIM1_CH4         ,FDCAN1_RX                     ,                              ,TIM1_BKIN2                    ,I2C2_SCL              ,COMP1_OUT,                              ,         ,                      ,    ,    ,    ,    ,    ,
PortA,PA12,SPI1_MOSI/I2S1_SD             ,USART1_RTS/USART1_DE/USART1_CK,TIM1_ETR         ,FDCAN1_TX                     ,                              ,I2S_CKIN                      ,I2C2_SDA              ,COMP2_OUT,                              ,         ,                      ,    ,    ,    ,    ,    ,
PortA,PA13,SWDIO                         ,IR_OUT                        ,USB_NOE          ,                              ,                              ,                              ,                      ,EVENTOUT ,                              ,         ,LPUART2_RX            ,    ,    ,    ,    ,    ,
PortA,PA14,SWCLK                         ,USART2_TX                     ,                 ,                              ,                              ,                              ,                      ,EVENTOUT ,                              ,         ,LPUART2_TX            ,    ,    ,    ,    ,    ,
PortA,PA15,SPI1_NSS/I2S1_WS              ,USART2_RX                     ,TIM2_CH1/TIM2_ETR,MCO2                          ,USART4_RTS/USART4_DE/USART4_CK,USART3_RTS/USART3_DE/USART3_CK,USB_NOE               ,EVENTOUT ,I2C2_SMBA                     ,SPI3_NSS ,                      ,    ,    ,    ,    ,    ,
PortB,PB0 ,SPI1_NSS/I2S1_WS              ,TIM3_CH3                      ,TIM1_CH2N        ,FDCAN2_RX                     ,USART3_RX                     ,LPTIM1_OUT                    ,UCPD1_FRSTX           ,COMP1_OUT,USART5_TX                     ,         ,LPUART2_CTS           ,    ,    ,    ,    ,    ,ADC1_IN8
PortB,PB1 ,TIM14_CH1                     ,TIM3_CH4                      ,TIM1_CH3N        ,FDCAN2_TX                     ,USART3_RTS/USART3_DE/USART3_CK,LPTIM2_IN1                    ,LPUART1_RTS/LPUART1_DE,COMP3_OUT,USART5_RX                     ,         ,LPUART2_RTS/LPUART2_DE,    ,    ,    ,    ,    ,ADC1_IN9
PortB,PB2 ,                              ,SPI2_MISO/I2S2_MCK            ,                 ,MCO2                          ,USART3_TX                     ,LPTIM1_OUT                    ,                      ,EVENTOUT ,                              ,         ,                      ,    ,    ,    ,    ,    ,ADC1_IN10
PortB,PB3 ,SPI1_SCK/I2S1_CK              ,TIM1_CH2                      ,TIM2_CH2         ,USART5_TX                     ,USART1_RTS/USART1_DE/USART1_CK,                              ,I2C3_SCL              ,EVENTOUT ,I2C2_SCL                      ,SPI3_SCK ,                      ,    ,    ,    ,    ,    ,
PortB,PB4 ,SPI1_MISO/I2S1_MCK            ,TIM3_CH1                      ,                 ,USART5_RX                     ,USART1_CTS                    ,TIM17_BKIN                    ,I2C3_SDA              ,EVENTOUT ,I2C2_SDA                      ,SPI3_MISO,                      ,    ,    ,    ,    ,    ,
PortB,PB5 ,SPI1_MOSI/I2S1_SD             ,TIM3_CH2                      ,TIM16_BKIN       ,FDCAN2_RX                     ,                              ,LPTIM1_IN1                    ,I2C1_SMBA             ,COMP2_OUT,USART5_RTS/USART5_DE/USART5_CK,SPI3_MOSI,                      ,    ,    ,    ,    ,    ,
PortB,PB6 ,USART1_TX                     ,TIM1_CH3                      ,TIM16_CH1N       ,FDCAN2_TX                     ,SPI2_MISO/I2S2_MCK            ,LPTIM1_ETR                    ,I2C1_SCL              ,EVENTOUT ,USART5_CTS                    ,TIM4_CH1 ,LPUART2_TX            ,    ,    ,    ,    ,    ,
PortB,PB7 ,USART1_RX                     ,SPI2_MOSI/I2S2_SD             ,TIM17_CH1N       ,                              ,USART4_CTS                    ,LPTIM1_IN2                    ,I2C1_SDA              ,EVENTOUT ,                              ,TIM4_CH2 ,LPUART2_RX            ,    ,    ,    ,    ,    ,
PortB,PB8 ,CEC                           ,SPI2_SCK/I2S2_CK              ,TIM16_CH1        ,FDCAN1_RX                     ,USART3_TX                     ,TIM15_BKIN                    ,I2C1_SCL              ,EVENTOUT ,USART6_TX                     ,TIM4_CH3 ,                      ,    ,    ,    ,    ,    ,
